,conversation
55168,"Ok, ladies and gentlemen, wind your toys!"
55169,"Ok, on your mark... Get set... GO!!!"
55170,Go! Go!
55171,Come on robot!
55172,What are you barking at?
55173,Wha... How the hell is that gonna help?
55174,I bought you. How did I forget that that's all you do?
55175,Way to go robot!
55176,Good job Alan!
55177,"Hey, good race you guys."
55178,"Yeah, see you later!"
55179,"No! No, no... wait! We didn't lose.  The rules clearly    stated that the last one to cross the finish line was the loser. Well, our dog    never crossed the finish line, so technically..."
55180,They left.
55181,"The freeway. Rachel is driving Monica's Porsche, while    using her mobile phone. Ross is sitting next to her.]"
55182,"No, there isn't time to go to the bakery. We're just    gonna come home... Everybody left? Alright, well just tell Emma we're gonna    be there as soon as we can.  Bye..."
55183,RACHEL!
55184,OOH! God! Sorry!
55185,I can't believe they gave you a ticket. You're such a    good driver.
55186,Emma's awake.
55187,Yeah?
55188,I can't believe this. This is her first birthday. She's awake. We're    not even there. Everybody left. We still have this stupid obscene cake.
55189,"Hey, maybe I can fix that, you know. Try to turn it into something else."
55190,"Oh, why do you even bother? I already ruined her first birthday...    And do you know how important these early experiences are Ross? Very! According    to the back cover of that book that you gave me."
55191,"Rach, she's not going to remember this."
55192,"I guess... Oh, I just had such an idea of what this    day would be like, you know? Emma laughing and everybody gathered around her    cake singing ""Happy Birthday"". Then we would all go into... HEY GET    OUT OF THE ROAD YOU STUPID STUDENT DRIVER!!!  They have to learn!"
55193,Hey!
55194,What?
55195,It's not bad.
55196,Oh my God! Look what... you made it into a    bunny. How did you do that?
55197,"Well, I just made these two things uhm... cheeks. And then I split this    to make ears."
55198,"Well, I'm very impressed."
55199,"Some can sing, some can dance. I apparently can turn phallic cakes into    woodland creatures."
55200,"Rachel and Joey's apartment. Chandler, Monica and Emma    are sitting on the floor, and Emma's stuffed animals are lined up in front of    them.]"
55201,"Now another way to organise your stuffed animals, is by size."
55202,"I'm sorry, is this a game for Emma or for Monica?"
55203,Game?
55204,"Emma, you even know it's your birthday today? You're one! One-year-old,    that's little."
55205,Ooh! That's my girl!
55206,That's how old you are.
55207,Did I teach her that? Did I just... impart wisdom?
55208,"Ooh, I want one..."
55209,Me too...
55210,There's no-one around. Why don't we just take this one?
55211,...and head to Canada!
55212,I was kidding.
55213,I wasn't. Let's get going!
55214,"Hey, are Ross and Rachel back?"
55215,"No, not yet."
55216,"Oh good, I didn't miss the party."
55217,What about your massage client?
55218,"I just felt so bad, missing this. So I just slipped him a little something,    you know. As long as I'm back in five or six hours, it will be alright."
55219,"Okay, if Ross and Rachel ask, I've been here the whole time. THE WHOLE    TIME!"
55220,I've been here the whole time!
55221,"Joey, we just saw you come in. You ran past us on the stairs."
55222,I don't care that you left. I'm just glad that you're here. Thanks    you guys!
55223,"Hey, guys! Come on! You gotta see what Emma just did."
55224,What?
55225,"Emma, how old are you? How old are you today?"
55226,Wo-ish.
55227,"Oh! Emma, that's right! You're that many!"
55228,"Oh my God! Our daughter's a genius! Rach, this means..."
55229,"NO, no science camp!"
55230,Damnit! I'll put a candle on the cake.
55231,"Oh!... Oh and Emma, look at your stuffed animals lined up so neatly!"
55232,Thanks!
55233,"Okay, here we go! Emma's first birthday cake... Well hey... well, blow    out the candle. Come on Emma."
55234,"Let's do it, come on!"
55235,What's wrong? Are you okay?
55236,"Oh yeah, nothing! These are happy tears! This is just what I wanted."
55237,"Hey, you made it into a bunny."
55238,What is wrong with me. It looked more delicious when it    was a penis.
55239,Rachel and Joey's apartment. It's just Ross and Rachel.    They put the camera on a tripod in the kitchen and they are standing in front    of the camera.]
55240,Okay.
55241,"Okay, you ready?"
55242,Yeah.
55243,A-a-and... record.
55244,"Okay.  Hi Emma. Well,    your first birthday is over, and it was really..."
55245,"Go, go, go Alan! Run you, hairy bastard!"
55246,"Dana Klein   Produced by: Robert Carlock and Wendy Knoller   Transcribed by: Coffee Mug, Eleonora, Sebastiano & Vanessa"
55247,Central Perk]
55248,"You know, I'm thinking about letting Emma have her    first cookie."
55249,Her first cookie? She has cookies all the time!
55250,I've never given her a cookie. Have you?
55251,"No! No... and, for the record, I've also never given her a frosting from    a can!"
55252,"Hey Rach, the adoption agency needs letters of recommendation and we    were wondering if you would write one for us."
55253,"Of course, I'd be honored!"
55254,Thanks!
55255,Thank you!
55256,"U-U-Um, I think there's been an oversight."
55257,"Joey, we would've asked you, we just thought you wouldn't be interested."
55258,"Yeah, it's just we don't think of you as really being so much ""with    the words""."
55259,Whoo-weh hey weh-hey whoo hey!!
55260,Clearly we were wrong.
55261,"I gotta a lot of nice stuff to say about you guys, ok? And I know how    much you wanna have a baby, you know, and I would love to help you get one."
55262,"You know what? Then, Joey, we want you to do it."
55263,"Thank you! Alright, let me see how I'm gonna start... ""Dear baby    adoption decider people..."""
55264,So excited about your letter!
55265,Hey!
55266,Hey Phoebe!
55267,Hey!
55268,Wow! Don't you look nice?!
55269,"Yes, I do! Today is Mike and my one-year anniversary."
55270,"OH! What's it the anniversary of? Your first date, your first kiss,    first time you had sex..."
55271,YEAH!
55272,So you must be going to somewhere fancy to celebrate?
55273,"Uh-uh. Ehm, a Knicks game."
55274,Uhm... Aren't you a little overdressed?
55275,"Hey, you know what, I've never had a one-year anniversary before, so    no matter where we go, I'm wearing something fancy pants, and... I'm gonna put    on my finest jewelry and we're gonna have sex in a public rest room."
55276,You guys do that? Chandler won't even have sex in our bathroom!
55277,That's where people make number two!!
55278,Ross' apartment. Ross is grading papers. Charlie approaches    him.]
55279,Hey!
55280,Hey...
55281,"So, you know... I have a little time. If you... if you want to..."
55282,Oh...   Ohh... I'd love to    but I really have to grade these papers.
55283,"Fine, it's fine...  I'll just shower by myself..."
55284,"B, B, B, B, B!"
55285,"Oh, Ross, you gave a B to a Pottery Barn catalogue."
55286,"Well, it had some good ideas, take off your shirt."
55287,Damnit!
55288,Rachel!! Open up!! It's your sister!!  I have to talk to you!!
55289,Hi Amy!
55290,You're not Rachel.
55291,Still sharp as a tack!
55292,"Um... Charlie, this is Rachel's sister Amy. Amy, this is Charlie."
55293,Hi!
55294,Hi!
55295,Nice to meet you.
55296,H-Hi!! And you are...?
55297,Ross? I... I grew up on your block! We had Thanksgiving together    last year... I had a baby with your sister!
55298,N-no... uhm... did I buy a falafel from you yesterday?
55299,"Yes, yes, you did."
55300,Joey and Rachel's apartment]
55301,Hi Rachel! Here's your sister Amy! She thinks I need   pec implants!
55302,Amy! Hi! Oh-oh-hoh!  Wow! You remember Joey?
55303,"Yeah! Hey, sure! The ""Days of Our Lives"" guy!"
55304,"That's right, yeah."
55305,You're not good!
55306,Always nice to meet a fan!
55307,"So now, what are you doing here?"
55308,"Well, I have huge news."
55309,"Oh sorry, hold on. Let me just    check on the baby!"
55310,"Wait, this is important! Can Ella wait?"
55311,Ehm... Her name is Emma.
55312,"Why did you change it, Ella was so much prettier!"
55313,What do I know? I just sell Middle Eastern food from a cart!
55314,"Hey, your English is getting better!!"
55315,Oh my God!
55316,"I know, she may be the hottest girl I've ever hated."
55317,What... what you working on?
55318,"Oh, Monica and Chandler's recommendation. I want it    to sound smart but.. I don't know any big words or anything, so..."
55319,Why don't you use your Thesaurus?
55320,What did I just say?
55321,"Watch.  Here, you ehm... You highlight the word    you want to change.   Go under Tools and the Thesaurus generates... 'gives'... 'gives' a whole list    of choices. You can pick the word that sounds smartest."
55322,"Oh my God, that's great! I'm smart!! No, no, I'm...     ""brainy, bright, clever"", I love this thing! Look out ladies, Joey    Tribbiani's got the whole package!!"
55323,Rachel's room. Rachel is attending to Emma. Amy is standing    behind her.]
55324,God!
55325,So beautiful.
55326,"Oh, I know, isn't she?"
55327,"No, I was talking about your bedding."
55328,"All right. What's your news, Amy?"
55329,Oh! Um... Well... I'm getting married.
55330,What? Oh my God! To who?
55331,This guy! He has a killer apartment.
55332,A-And??
55333,A-And it's on Fifth. And the elevator opens up right into the living room.
55334,"No, what's he like?"
55335,Oh! He's ok. Do you remember my old boyfriend Mark?
55336,Yeah.
55337,It's his dad.
55338,"Huh... wow, so he's gotta be..."
55339,"Old? Yeah! But he travels a lot, so he's hardly ever there."
55340,"Sweety, I gotta tell ya... it sounds a little bit like you like the    apartment more than you like..."
55341,Myron. Hmm... I told you he was old!
55342,"Oh... sit down, sit down. Oh, honey, you know, I once also almost married    somebody that I didn’t love. Do you remember Barry?"
55343,"Humpf, remember him? How we used to make out all the time after you went    to sleep."
55344,"Sometimes just nodding is ok.  Uhm, so but   anyway, listen, not marrying Barry was the best decision that I ever, ever   made. Honey, you deserve   true love. Your soulmate is out there, somewhere. Someone that is your age,   that is smart, that is fun and that you care about!"
55345,"You’re right, you’re right! I’m gonna    do it!"
55346,Ok.
55347,I’m gonna marry Myron and keep looking   for Mr Right.
55348,"Ok, let’s keep talking."
55349,Madison Square Garden. Mike and Phoebe are walking to    their seats.]
55350,"Excuse me, anniversary. Excuse me, anniversary. . Uhm, sir, could you move your nachos... they’re in my    seat. It's my anniversary.  Here we are! . Can’t believe    it's been a whole year!"
55351,I know. This has been the best year...  THIS HAS BEEN THE BEST YEAR OF MY LIFE!
55352,ME TOO! I NEVER THOUGHT I COULD LOVE SOMEONE THIS MUCH!
55353,I FEEL THE SAME WAY!
55354,YOU’RE SO GENEROUS AND KIND AND  YOU'RE    AMAZING IN BED   IT’S    OUR ANNIVERSARY!
55355,"Knicks fans, please turn your attention to the    big screen on the score board. Someone has a special question to ask."
55356,"Oh how lame... oh, it’s so tacky, and impersonal."
55357,Really?
55358,"Oh, it’s the worst way to propose!"
55359,Excuse me... .
55360,Monica’s apartment. Joey enters the room]
55361,"Hey, finished my recommendation.  Here. And I think you’ll be very, very happy. It’s the    longest I ever spent on a computer without looking at porn."
55362,I don’t... uh... understand.
55363,Some of the words are a little too sophisticated    for ya?
55364,It doesn’t make any sense.
55365,Of course it does! It’s smart! I used the the-saurus!
55366,On every word?
55367,Yep!
55368,"Alright, what was this sentence originally?"
55369,"Oh, ‘They are warm, nice, people with big hearts’."
55370,And that became ‘they are humid prepossessing Homo Sapiens    with full sized aortic pumps...?
55371,"Yeah, yeah and hey, I really mean it, dude."
55372,"Hey Joey, I don’t think we can use this."
55373,Why not?
55374,"Well, because you signed it baby kangaroo Tribbiani . Hey, why don’t you stop worrying about sounding smart and just    be yourself!"
55375,"You know what? You don’t need a thesaurus, just write from  here,  your full sized aortic pump."
55376,The corridor. Amy knocks Joey’s door and Rachel    opens the door.]
55377,"Amy, hi!"
55378,"I took your advice, I left Myron."
55379,"Oh, good for you!"
55380,I know! I'm Erin Brockovich!
55381,"Yes you are! Oh, I am so proud of you!"
55382,"Thank you! So, can I stay with you?"
55383,But Erin Brockovich had her own house.
55384,"Ah, look who’s back!  Why do you have bags? RACH,    WHY DOES SHE HAVE BAGS?"
55385,"Well, I’m staying with you guys!"
55386,What?
55387,We’re gonna be roomies!  Come on!
55388,Joey’s apartment. Rachel is in the living room    and Joey comes out of his room.]
55389,You slept out here?
55390,"Yeah... Amy kept kicking me in her sleep yelling ‘Myron, get    off!’"
55391,"But uhm, we're getting rid of her, right? Rach, please tell me we’re    getting rid of her."
55392,"Joey, I can’t do that!"
55393,"Oh, come on! Last night I was finishing off a pizza and she said  ""Uoh oh oh, a moment on the lips, forever on the hips!""    I don’t need that kind of talk in my house!"
55394,"Well Joey, uhm look, I know that she’s difficult, but I think    it’s really good that she’s here."
55395,'Cause we will appreciate it more when she’s gone?
55396,"No, it's just... look, you know, when I first moved to the city I was    a lot like her! I was spoiled, self-centered and you guys really took care of    me."
55397,"Yeah, Monica made us!"
55398,"Well, uhm... whatever, I have really appreciated it, 'cause I don’t    think I would be the person that I am today if it wasn’t for you guys.    See, I wanna help Amy the way you guys helped me. And I know it’s gonna    take patience, but that’s ok."
55399,Good morning.
55400,Yeaah.
55401,"Amy, that’s what I was supposed to wear today, that’s why    I hung it on the door."
55402,"Oh, sweety, you can’t pull this off."
55403,"Amy, you know what? I was thinking that maybe now it'd be a good time    for us to sit down and, you know, talk about your future."
55404,"Oh, I can’t, honey. I’m gonna go get my eyebrows shaped.  I am not happy.     Oh... sure you wanna eat that?"
55405,"I’M CURVY, AND I LIKE IT!"
55406,"Monica’s Apartment. Rachel, Ross, Monica and Chandler    are there, Phoebe enters the room]"
55407,Hi. I just had the worst anniversary ever.
55408,I doubt that! Tell her about us last year.
55409,"Oh, well, I bought Chandler a five hundred dollar watch and he wrote    me a rap song."
55410,Seriously?
55411,Word!
55412,"Well, mine was worse than that."
55413,"Well, what happened?"
55414,"We were at the game, and this guy proposed to his girlfriend on the    big screen thing..."
55415,"Oh, that is so tacky."
55416,"Well, that’s what I said, but it turns out, Mike was planning    on proposing to me that same way last night!"
55417,"Oh my God, Mike was gonna propose?"
55418,"Phoebe, that’s huge!"
55419,"Well, do you wanna marry him?"
55420,"Yeah, I really do! Yes, but, after I dumped on the way he was gonna    propose to me, I don’t think he’s ever gonna ask again! I mean,    I said no in Barbados and now this!"
55421,She's right! If I were a guy and...  Did I just say if I were a   guy..?
55422,"Maybe you don't need him to propose to you, maybe you can propose to    him!"
55423,"Oh, I don't know, I don't know, isn't that a little desperate?"
55424,"I proposed to Chandler!  Alright,    moving on..."
55425,"Oh, I don't think it was desperate, I think it was amazing!"
55426,Thank you.
55427,"Well, do you think   I should propose?"
55428,I think it could be kind of great!
55429,Absolutely! You'll love the feeling! There's nothing like it!
55430,"Ok, ok, so how should I do it?"
55431,"How about at a game, on the big screen?"
55432,Uuuh!! How about at a Footlocker?
55433,"What? what? He obviously thinks that's a nice way to be proposed to,    plus he'd never suspect it!"
55434,"Yeah, that does make sense. Ok, now, would... would you two  like that?"
55435,Sounds good to me... but what would a guy think?
55436,Nana is on the phone
55437,"Oh! That's interesting, since she died seven years    ago!!"
55438,She did? Who got her condo in Boca?
55439,"Hello?  Oh, it's our nanny!  Hi! Oh... God! I hope you feel better! Ok, bye!      That's Molly, she's sick. Can you watch Emma today?"
55440,"No, I can't. I have back-to-back classes. Did Molly say what she had?    Because my throat's been hurting?"
55441,Menstrual cramps.
55442,I don't think that's what this is.
55443,Can any of you watch Emma?
55444,"No, sorry sweety.."
55445,"No, I've got work and then I'm proposing.."
55446,"Great, shoot, what are we gonna do?"
55447,"Well, I can do it."
55448,"Well, actually..."
55449,"Well, can I talk to you for a sec.?"
55450,Yeah.
55451,"Um, I do not want her baby-sitting our child."
55452,Why not?
55453,"Well, for one thing, she keeps calling her Ella!      Rachel:  Wha.. well, Ella's a nice name!"
55454,"Fine, we'll call the next one Ella."
55455,Wha... the next one?
55456,"Okay, um... I don't want her watching our baby."
55457,"Ross, I am trying to help her become a better person. This is a huge    breakthrough for her! She just offered to do something for another human being!!"
55458,I... I don't know..
55459,"Ross, I'm telling you, she's giving up getting her eyebrows  shaped to do this alright? Do you understand    how important that is in our world?"
55460,"um... listen, I couldn't help but overhear... 'cause I was trying to...    Listen, let me do this alright? I really wanna help you guys out, and plus Rachel's    been so wonderful to me..."
55461,Absolutely.
55462,Oh! Great! So how much does it pay?
55463,"Central Perk. Joey is inside, Chandler and Monica walk    in.]"
55464,Hey Joe! How's the second draft of the letter coming?
55465,"Great, I'm finished! In fact, I just dropped it off at the agency."
55466,You dropped it off?
55467,Yeah.
55468,Can we read it? Can you print out another copy?
55469,"No can do amigo. No, I didn't use the computer. Felt more personal to    hand-write it."
55470,You hand-wrote it?
55471,"Yeah, and don't worry. I didn't try to sound smart at   all! See ya later!"
55472,"Oh my God, oh my God, that letter is gonna go in our    file! We're never gonna get a kid. No, we're gonna be one of those old couples    that collects orchids or has a lot of birds!"
55473,"It's ok, it's ok. You know what?  I'll just    call the agency and tell them to throw out the letter."
55474,Okay good.
55475,"Hello, this is Chandler Bing. Somebody just dropped    off a handwritten recommendation letter, and..  Uh-huh... Uh-huh...    okay... thank you. Good-bye. ."
55476,"Ugh, we're screwed, aren't we? You know what? Just tell me on the way    to the bird store."
55477,They loved it.
55478,What?
55479,They thought it was very smart of us to have a   child write the recommendation letter.
55480,They thought Joey was a child?
55481,"She guessed 8, 9, based on his drawings."
55482,Hi!
55483,"Hey, what did you guys do today?"
55484,"Ella wanted to go out, so we went shopping and got some sushi."
55485,That sounds like fun.
55486,"Yeah, not really. Babies are dull."
55487,"Hey! Hi, how's my girl?"
55488,"I'm fine! And, I got you a present for letting me stay with you. Ready?"
55489,Yeah!
55490,Ta-daaa!
55491,You pierced her ears!?
55492,Doesn't it make her nose look smaller?
55493,You pierced her ears? How could you do this without telling me?
55494,"Well, if I had told you, then it wouldn't have been surprise, now would    it?"
55495,I think she looks cute.     ... but I am wrong!
55496,"Oh my God, Oh my God, here comes Ross. He's gonna flip out."
55497,"Why, did something happen to his falafel cart?"
55498,Ugh.
55499,Hey guys.       Monica and Chandler: Hi Ross.
55500,"Hey Emma. Oh, why is she wearing her hat so low? She can barely see.    ."
55501,"Nah, I don't really want her to see."
55502,Why not?
55503,Because there are so many terrible sights in this world.
55504,Like war. Or that thing in Joey's refrigerator. Remember? It was    in a milk carton but it looked like meat?
55505,Come here  Oh! There she is! Hi!
55506,What?
55507,Nothing.
55508,Hi!  What... . Please tell me those are clip-ons.
55509,"Oh, they're real!"
55510,Did she  do this to her? I told you we shouldn't have    left Emma with her!
55511,"I know, I know, and you were right Ross.    You are soo irresponsible   I am never letting you baby-sit ever again!"
55512,"Hey you know what, this kid needs me, okay? She needs    to have a cool fun aunt!"
55513,"I'm a cool, fun aunt!"
55514,O-Okay!
55515,Hey! Monica can be cool and fun at organized indoor projects!
55516,I can't believe this. All I wanted to do was help you try to figure    out what to do with your life and this is how you repay me?
55517,"Well, I don't need you to help me, because I already know what I'm going    to do with my life."
55518,Oh yeah? Since when?
55519,Since today... I am going to be a baby stylist.
55520,What?
55521,That's not a thing!
55522,"Well, it should be. I'm gonna help babies learn how to accessorize, what    colors to wear, what clothes are slimming..."
55523,Babies don't care if they're slim.
55524,Enter Amy!
55525,"Amy, I ju... I just... I just wanna..."
55526,What? What are you gonna do?
55527,No more falafel for you!
55528,"Madison Square Garden. Phoebe and Mike are watching the    game. There's cheering, but Phoebe seems distracted.]"
55529,"Great game, huh?"
55530,"Uhuh, uhuh..."
55531,Why do you keep looking at the screen?
55532,I'm not. I'm praying.  Please let the Knicks win... Thank    you Thor!  Where... where are you going?
55533,Going go to the bathroom.
55534,"Well, I think you should wait."
55535,Why?
55536,"Well, if you don't... if you don't hold it in, you don't get all the    nutrients."
55537,"Knicks fans, please turn your attention to the    big screen on the scoreboard. Someone has a special question to ask."
55538,"""Mike will you marry me?"" and then    we see Phoebe and Mike on the screen. Phoebe stands up and kneels in front of    Mike.)"
55539,Mike Hannigan... will you marry me?
55540,Get a load of this... She's proposing   to him. Guess we know who wears the pants in that family.
55541,That's not very enlightened!
55542,"Hey, hey!  Boo us? Boo you!"
55543,Rachel and Joey's. Joey is in the kitchen and the telephone    rings.]
55544,"Hello? Yeah, this is Joey Tribbiani...    Oh, hi! Well, I'm glad you liked my letter... No my mommy and daddy aren't home    right now...  Okay, bye bye.   She was    nice!"
55545,"Joey, get Amy's bags, she is moving out!"
55546,Whoo-hoo!
55547,You're kicking me out?
55548,You put holes in my baby's ears!
55549,"Yeah well, at least now people will know she is a girl!"
55550,I can't believe I ever even tried to help   you. You are so  beyond help.
55551,"You know what? Ever since I got here, you have been nothing but negative."
55552,Excuse me?
55553,"You didn't want me to marry the old guy with the great apartment. Then,    I tried to help your daughter to de-emphasize her flaws  And suddenly I am the bad guy?"
55554,"Joey, where are those bags?"
55555,She has a lot of crap!
55556,"You know what? When I moved in here I thought: This is gonna be so great.    Just us sisters, back together again like when we were kids, except without    that stupid Jill... Oh! Who has gotten fat by the way..."
55557,Seriously?
55558,hm-mmm... Mom said she gained like fifteen pounds.
55559,Hips or thighs?
55560,Ass and face.
55561,Oh! Oh my God! I thought she was on Atkins.
55562,"She was. Carbs found her... See, this is what I wanted. Two sisters, talking    about real stuff."
55563,"Oh, I can give you that."
55564,You can?
55565,"Yeah. I just, I kept trying to make you a better person, but you're...    you're already a pretty perfect version of what you are."
55566,"Thank you. I've got to admit, Emma does look cute."
55567,Did you just say Emma?
55568,"Ugh, I'm sorry... Ella."
55569,Mike and Phoebe at a restaurant.]
55570,"That woman at the game didn't know what she was talking    about. Mike, obviously you have balls."
55571,"But please, let's just forget the whole thing."
55572,"I would love it. Consider    it forgotten... But just so you know... however and whenever you decide to propose,    I promise I'll say yes. Whether... whether, you know, it is in a basketball    game, or in sky writing, or you know, like some lame guy in a cheesy movie who    hides it in the cake."
55573,"It's in the cake, isn't it?"
55574,Where else would lame Mr. No Balls hide it?
55575,"What's the matter with me? How do I keep ruining this? I'm sorry, I'm    sorry!"
55576,No! It's my fault. I keep trying to propose in these stupid ways and    all I wanna do is tell you that I love you and I want to spend the rest of my    life with you.
55577,I'm gonna do this now.
55578,Oh my God!
55579,"Phoebe, I..."
55580,Wait! Oh wait!  Oh no!
55581,Ready?
55582,Uh-huh!
55583,"Phoebe, I love you. There's no-one else in the world I would ask to marry    me... three times. But I wanna take care of you, have babies with you, and grow    old with you... Phoebe Buffay, will you marry me?"
55584,Yes!
55585,I love you!
55586,I love you more!
55587,Not possible!  She's gonna    be Mrs. No Balls.
55588,The street in front of Central Perk. Rachel and Amy are    walking on the sidewalk.]
55589,So how is the uhm... baby styling business going?
55590,Not that great. It's almost if people don't want to hear that their babies    are ugly.
55591,That's shocking!
55592,Oh! It's Ross... Hey Ross!  Hello-oo Ross!  He's rude!
55593,"Sebastian Jones   Produced by: Robert Carlock and Wendy Knoller   Transcribed by: Coffee Mug, Eleonora, Sebastiano & Vanessa    Final check by    Kim"
55594,"Central Perk, everyone except Phoebe is there]"
55595,Hey...
55596,Hey!
55597,Hi!
55598,"Pheebs, what's wrong?"
55599,"Oh, I'm just so exhausted from dragging around this...     HUGE engagement ring!"
55600,OH!
55601,My God!
55602,Hey!      Rachel: Congratulations! Wow!!
55603,"So, did he get on one knee, did he have a speech prepared,    or  did he cry?  Yeah, big surprise,    I like proposals!"
55604,"Well, it was really sweet, and like the   most romantic thing ever."
55605,"Well, hey! Well...     Here's to Phoebe, who's found the greatest guy in the world! To Phoebe and...     I wanna say Mike?  To Phoebe and Mike!"
55606,Whoo!
55607,"Thank you!  Oh, and I have something for    you!"
55608,Mmh-mmh!
55609,"It's, yes, my little black book. It's got the numbers    of all the guys I've dated."
55610,"Oh, Pheebs, baby, that's nice but, you know what,    I think I'm ok. Why don't you give it to one of your other single girlfriends?"
55611,"I would, but you're the last one."
55612,"GIVE ME THE BOOK!  Pablo Diaz, Brady Smith, huh, ""Guy-in-van""?"
55613,"Oh, my first love!"
55614,Oh!
55615,What does the red X next to Bob Greenmore's name mean?
55616,"Dead.  Oh, it's OK, no,   he  was old, yeah! And he lived a full life, he was in the first wave   at Omaha Beach."
55617,"Hey, I'm sorry, I should have given you guys my    black book when I got married! Although it wasn't so much a book as a... napkin.    With Janice's phone number on it."
55618,"Phoebe, isn't Jethro Tull a band?"
55619,"Oh yes, they are."
55620,Chandler and Monica's apartment]
55621,Hey honey!
55622,Hi sweetie!
55623,Is Monica not here?
55624,No.
55625,"Oh, then I'll tell you. My agency was bidding for   a big account and they got it! It's my first national commercial!"
55626,Cool!
55627,"Yeah, and I don't wanna brag but a lot of the ideas    were mine!  Hell, you weren't there? All the ideas were   mine!!!"
55628,"That's great! Hey, can you cast me in it?"
55629,"Oh... I don't know, I really don't think you're    right for the part."
55630,"What do you mean? I can do anything, I'm a chameleon!    Huh?  I'm old!  I'm tired!     Hey, I'm hot  I'm cold!! Huh??    Come on! What can't I do?"
55631,"First of all. Bravo. Uh, but I really don't think    you're right for this. The part calls for a stuffy college professor."
55632,"I can do that!  ""Hello, I'm    your professor. When I'm not busy thinking of important things or... professing.    I like to use..."" Oh, what's the product?"
55633,Software that facilitates inter-business networking    e-solutions?
55634,I'm cold!
55635,Central Perk. Charlie is sitting on the couch and Ross    enters.]
55636,Hey!
55637,Hey!
55638,"Guess who's a finalist for a huge research   grant!  I'll give you a hint, he's looking right at you."
55639,"Ah, well, unless it's the creepy guy with his hand    up his kilt, I'm gonna say congratulations!"
55640,"Oh, I'm so excited, I mean, apparently I beat out hundreds    of other applicants, included five guys I went to graduate school with. Not      that I'm keeping score or anything... five!"
55641,"Wow, that's great! So, tell me about the grant!"
55642,"Well, ok, it's for 25 thousand dollars. And if I get    it, I'll finally be able to complete my field research! And there    will be  an article about me in the ""Paleontology Review""! Yeah!    That'll be  the first time my name is in there, without people raising serious    questions    about my work!"
55643,Wait. Are you talking about the Dewar grant?
55644,Yeah. Why?
55645,Benjamin Hobart is administering that grant.
55646,Your ex-boyfriend?
55647,Yeah.
55648,"So, your ex-boyfriend is gonna determine if your new    boyfriend gets this grant? Wow, your new boyfriend is screwed!"
55649,"No, no, we ended up in great terms. I mean, if anything,    I think this could help you. You know what? Why don't we all go out to dinner    together, and I can introduce you."
55650,"Well, if you think it would help."
55651,"Yes, absolutely. I'll call him."
55652,"Ok, now, is there anything I can do to... you know,    butter him up? Anything he really likes?"
55653,Mmh... he does have a pretty serious latex fetish.
55654,We'll see how dinner goes.
55655,Phoebe's apartment. She is packing a few tings into boxes.]
55656,Hey!
55657,"Hey, you wanna go to see a movie?"
55658,"Well, I told you I had to spend all the day clearing    out stuff, so Mike could move in."
55659,"Oh, right."
55660,Yeah.
55661,"Oh, well. Now that I'm here I might as well help you    with the cleaning and organizing! Just happen to have my label maker!"
55662,"Oh, it's so hard to get rid of stuff! Did   you and Chandler have to make compromises when you first moved in together?"
55663,"Uh, Chandler did! What does he want you  to give  up?      Phoebe: A bunch of stuff. And the worst one... he wants me    to get rid of Gladys."
55664,Who's Gladys?  Oh! What a tragic loss!
55665,"Yeah. I really hate to give her up. Oh,   I know!! Oh, you should take her!"
55666,"Well, I-I-I-I... I don't know..."
55667,"Why, you don't like her?"
55668,"Well, of course I do. What's not to like! I'll    take her in a minute! But, you know, I think that you're giving up too    easy, honey. I think that you need to fight for her!"
55669,Really? You think?
55670,"Absolutely! Yes, you say to him ""I'm sorry    Mike I can't live without her, she means too much to me!"""
55671,"Ok, I'll fight for her. Ok! Oh, wait, oh I just    realized... if I do that, that means you don't get her."
55672,"Damn it, I did not think this through!"
55673,"Central Perk. Rachel, Joey and Emma are there.]"
55674,Hey you guys.
55675,Hi!
55676,Oh! Any word on casting yet?
55677,"Joe, I told you, you're just not right for    the part."
55678,"What do you mean? Rach, don't I seem like a professor    you'd buy some kind of e-crap from?"
55679,"I'm sorry, this sounds like something I'm never gonna    be interested in."
55680,"Look, c'mon, please? It's    not like I'm asking for some crazy favour. This is what I do for a living. I    am a professional actor!  Oh, man,    I'm two hours late for work! . Look, here's a    copy of my reels. It's got all the commercials that I've been in."
55681,Joe...
55682,"Just watch it, and if you don't like it, you don't    pass it on to your bosses!"
55683,Fine!
55684,Thank you.
55685,"Work, Joe!"
55686,Damn it!
55687,What am I gonna do now?
55688,Just pass it to your boss!
55689,"He's not right for the part. So if I suggest    him, my bosses are gonna think I'm an idiot! And that's something they should    learn on their own!"
55690,"Just tell Joey that you watched the tape and you liked    it, but your bosses didn't. Then that way, you're the good guy and    they're the bad guys."
55691,"That's good! I liked it, they didn't.     Joey, for God's sake,    go to work! ."
55692,"A restaurant. Ross and Charlie are waiting for her ex-boyfriend,    Benjamin Hobart]"
55693,I can't believe I'm about to meet Benjamin Hobart.    I've always thought of him as one of the people I'd invite to my fantasy dinner    party. Do you think there's any chance he'll bring Christie Brinkley    or C3PO?
55694,"Sorry, looks    like it's just him."
55695,"Charlie! My God, you look absolutely stunning!"
55696,"Well, I... I am having a good hair day."
55697,So good to see you.
55698,Me too.
55699,I'm ok.
55700,I'm sorry...  Ross    Geller... Benjamin Hobart.
